FID,STREET_NAM,ROADINVENT,FUNCTIONAL,JURISDICTI,Divided,InstallDat,ExisFacil,Shape_Leng,Shape__Length
1,Veterans Of Foreign Wars Parkway,6212500,2,3,1,2013,BL,175.249590384,236.968935993696
2,Veterans Of Foreign Wars Parkway,4847800,2,3,1,2013,BL,82.5011606868,111.516092029971
3,Veterans Of Foreign Wars Parkway,4838800,2,3,1,2013,BL,81.2270240073,109.766533531735
4,Lake Street,4547801,6,2,0,2010,SLM,137.040789804,185.775926125472
5,Commonwealth Avenue,5141000,3,2,1,2013,SLM,213.655204603,288.626695529856
6,Commonwealth Avenue,5673800,3,2,1,2013,SLM,214.586170025,289.880376560348
7,Lake Street,4540000,6,2,0,2010,SLM,98.3328303472,133.238190210251
8,Lake Street,4535900,6,2,0,2010,SLM,198.175388909,268.423354644036
9,Faneuil Street,5454700,3,2,0,2010,BL,37.6627034623,50.8866942957619
10,Washington Street,4505600,3,2,0,2010,BL,55.2795339916,74.6888205708058
11,Faneuil Street,4485300,6,2,0,2017,SLM,59.8905090006,80.9368331893813
12,Veterans Of Foreign Wars Parkway,5107800,2,3,1,2013,BL,83.1971250955,112.312196279096
13,Beacon Street,4600100,3,2,0,2009,BFBL,57.3115144285,77.4158091831073
14,Commonwealth Avenue,6227100,3,2,1,2013,BL,167.106824497,225.786731590069
15,Washington Street,4506300,3,2,0,2010,BL,42.0331826708,56.7954670427442
16,Faneuil Street,4481600,6,2,0,2017,BL,48.9446080694,66.2357649107774
17,Faneuil Street,5648900,6,2,0,2017,BL,56.8480237649,76.8864482175123
18,Baker Street,5437300,6,2,0,2014,BL,95.1479327799,128.568572634807
19,Veterans Of Foreign Wars Parkway,4984800,2,3,1,2013,BL,86.7393801741,117.460441782482
20,Veterans Of Foreign Wars Parkway,4933300,2,3,1,2013,BL,496.232801666,672.102695000655
21,Veterans Of Foreign Wars Parkway,6222500,2,3,1,2013,BL,297.55920715,403.000554475941
22,Baker Street,5688000,6,2,0,2014,BL,38.3888523019,51.956033900316
23,Commonwealth Avenue,5717400,3,2,1,2013,SLM,32.2532358595,43.6145569802535
24,Chestnut Hill Avenue,5701700,5,2,0,2010,SLM,117.515923596,159.090144760768
25,Chestnut Hill Avenue,4534000,5,2,0,2013,BL,67.6963820265,91.7839859079638
26,Western Avenue,5126300,5,2,0,2015,BLSL,59.3168935651,80.1851149040574
27,Washington Street,5304500,3,2,0,2010,SLM,34.4526824529,46.5479428907865
28,Market Street,5789600,5,2,0,2013,BL,18.144745268,24.5842622483058
29,Washington Street,4504200,3,2,0,2010,SLM,69.1059547987,93.3685510829385
30,Washington Street,5304400,3,2,0,2010,BL,43.3010143833,58.5035699253083
31,Washington Street,5824200,3,2,0,2010,SLM,40.9149831263,55.2789162161179
32,Market Street,5273900,5,2,0,2013,BL,23.2719237437,31.538772135832
33,Belgrade Avenue,4899500,3,2,0,2009,BL,69.0599849193,93.2122838836807
34,Veterans Of Foreign Wars Parkway,6287101,2,3,1,2013,BL,74.9872316398,101.276652644312
35,Veterans Of Foreign Wars Parkway,5212800,2,3,1,2013,BL,1089.71352287,1471.44046018705
36,Western Avenue,4438100,5,2,0,2015,BLSL,53.2217222256,71.9358826433989
37,Perkins Street,6276500,5,3,1,2008,BL,78.2086553922,105.703168859467
38,Centre Street,4828700,5,2,0,2019,BFBL,75.805023867,102.535943010734
39,Everett Street,5719400,6,2,0,2017,BLSL,12.9011826774,17.49198715192
40,Western Avenue,5126200,5,2,0,2015,BLSL,85.4538888929,115.49716372554
41,Centre Street,5148000,5,2,0,2010,SLM,44.1838248871,59.7610944808789
42,Cambridge Street,4468100,3,2,0,2015,BL,65.060576072,87.9902787868367
43,Brighton Avenue,6244500,3,2,1,2013,SLM,302.907847083,409.314965600182
44,Brighton Avenue,5261700,3,2,1,2019,SLM,91.1592261831,123.182647710692
45,Franklin Street,4447700,0,2,0,2010,SLM,38.0355157441,51.5781737228902
46,Franklin Street,4442100,0,2,0,2010,SLM,102.682346214,139.043607043692
47,Western Avenue,5126600,5,2,0,2015,BLSL,64.8769759633,87.6840140868771
48,River Street,5076100,5,2,0,2012,BLSL,39.033078846,52.8132654085499
49,Cummins Highway,5154600,3,2,0,2012,BL,145.183236214,196.247556940895
50,Washington Street,5705200,3,2,0,2009,BL-PEAKBUS,78.9603252755,106.818276191385
51,Centre Street,5731300,2,3,1,2011,BL,146.101779011,197.833614440526
52,Centre Street,6235300,2,3,1,2011,BL,255.904055811,346.486430649565
53,South Huntington Avenue,4631500,5,2,0,2010,BL,71.844643897,97.3860052577696
54,Huntington Avenue,5627300,3,2,1,2013,SLM,62.7580011919,84.7693692716902
55,South Huntington Avenue,5128000,5,2,0,2010,SLM,137.417146501,186.241315504413
56,Commonwealth Avenue,5118700,3,2,1,2019,SBL,73.9483292319,99.9221295604222
57,Commonwealth Avenue,5118600,3,2,1,2019,SBL,94.0301606186,127.05530924971
58,River Street,5737500,5,2,0,2012,SLM,17.2043778601,23.2349024210576
59,Washington Street,4870700,3,2,0,2009,BL-PEAKBUS,46.7931719139,63.3058178749272
60,Centre Street,6238600,2,3,1,2011,BL,34.6772467798,46.8812764899675
61,Centre Street,4790100,2,3,1,2011,BL,36.1039898909,48.8053527314931
62,Walter Street,6240300,6,2,0,2016,BL,16.4181149475,22.2054962080056
63,Walter Street,4806700,6,2,0,2016,BLSL,206.316261405,279.302725252132
64,Walter Street,5222300,6,2,0,2016,BLSL,125.726714728,170.281921009825
65,Centre Street,6277300,2,3,1,2011,BL,70.757999177,95.797310007256
66,North Harvard Street,5222000,5,2,0,2012,BL,22.5072470793,30.4720309278898
67,North Harvard Street,5814001,5,2,0,2009,BLSL,61.7776651959,83.6902924985747
68,North Harvard Street,5180600,5,2,0,2009,BL,201.428049555,272.709366076318
69,Western Avenue,5151500,5,2,0,2021,SBL,58.5977205956,79.1911085310769
70,American Legion Highway,5694800,5,2,1,2009,BFBL,208.571774044,281.859177863218
71,Cummins Highway,4931300,3,2,0,2012,BL,116.768341922,158.097354445194
72,Perkins Street,4648600,5,3,1,2008,BL,94.2726750241,127.338720612453
73,Chestnut Street,6251200,5,3,1,2007,BL,137.734915836,186.348217983131
74,Commonwealth Avenue,5119400,3,2,1,2010,BL,57.8561168105,78.1780511232255
75,Commonwealth Avenue,6276000,3,2,1,2019,SBL,129.116831573,174.4707018335
76,Truman Highway,6233200,5,3,0,0,BL,456.8209471,617.568041560796
77,American Legion Highway,6291500,5,2,1,2009,SLM,158.464823909,214.519129629874
78,American Legion Highway,5121000,5,2,1,2009,SLM,353.633470368,478.84424642728
79,Walk Hill Street,5690500,5,2,0,2014,SLM,81.3441965751,110.07395055588
80,Western Avenue,5859000,3,1,0,2021,BL,27.3131272778,36.9108566107673
81,Cummins Highway,5162100,3,2,0,2020,SBL,124.919262655,168.91749774716
82,Mount Hope Street,5218800,0,2,0,2021,CFBL,196.742148234,265.981337966662
83,South Street,5735800,5,2,0,2010,SLM,18.3633404997,24.8831463300219
84,South Street,5736000,5,2,0,2010,SLM,21.1767448992,28.6803412043365
85,Centre Street,4736000,5,2,0,2011,SLM,51.3333843567,69.3356967521918
86,Centre Street,5852700,5,2,0,2010,BL,56.1343163113,76.0028377920765
87,Centre Street,4721700,5,2,0,2010,BL,72.348123147,98.0343998907734
88,Perkins Street,5291300,5,2,0,2010,SLM,58.2671421789,78.6993749160084
89,Centre Street,4661200,5,2,0,2010,SLM,52.9881960903,71.7758936386526
90,River Street,5858200,5,2,0,2013,SLM,5.91710186328,7.9941943735339
91,Jewish War Veterans Drive,5190500,5,2,0,2009,BL,577.676676891,781.240918975483
92,Seaver Street,5148900,3,2,1,2016,BFBL,182.267696655,246.932550344675
93,Walk Hill Street,5688700,5,2,0,2015,BL,172.600952399,233.416287876485
94,American Legion Highway,5119700,5,2,1,2020,SBL,269.609219199,364.430706768626
95,Arborway,5241800,0,3,1,2018,SBL,45.7429968281,61.7563630959316
96,James Shea Circle,5764000,2,1,1,2018,SBL,41.3230334364,55.8263523753477
97,Forest Hills Entrance Drive,5630000,5,2,0,2009,BL,324.459003836,438.126570659172
98,Williams Street,4756700,0,2,0,2017,SLMTC,71.1281166679,96.2507550774444
99,Centre Street,4650900,5,2,0,2010,SLM,30.3859082306,41.157335182858
100,Centre Street,4638100,5,2,0,2010,BLSL,23.9129363588,32.2954316404243
101,Huntington Avenue,4587900,3,2,0,2013,SLM,53.7372394321,72.6803923605645
102,River Street,5041400,5,2,0,2013,SLM,117.236820043,158.258955717478
103,Blue Hill Avenue,6257501,2,1,1,2010,BL,43.9302017717,59.500025285634
104,Blue Hill Avenue,6229400,2,2,1,2010,BL,107.755771766,145.94889989582
