ID,NAME,CAPACITY
338,Commonwealth Ave at Kelton St,15
339,Archdale Rd at Washington St,15
340,Blue Hill Ave at Almont St,19
341,Roslindale Village - Washington St,15
342,Boylston St at Jersey St,15
343,Morton St T,15
344,Commonwealth Ave at Chiswick Rd,19
345,Park Plaza at Charles St S.,19
346,Cleveland Circle,15
347,Thetford Ave at Norfolk St,15
348,Talbot Ave At Blue Hill Ave,15
349,Washington St at Talbot Ave,17
35,Arch St at Franklin St,15
350,Codman Square Library,17
351,Faneuil St at Arlington St,15
352,Ring Rd,15
353,Mattapan Library,15
354,Washington St at Egremont Rd,15
355,Bennington St at Constitution Beach,15
356,Charlestown Navy Yard,23
357,Centre St at Seaverns Ave,15
358,Medford St at Charlestown BCYF,19
359,One Brigham Circle,15
36,Copley Square - Dartmouth St at Boylston St,28
360,Bartlett St at John Elliot Sq,15
361,Deerfield St at Commonwealth Ave,19
362,Columbia Rd at Tierney Community Center,19
363,Harrison Ave at Mullins Way,19
364,Tremont St at Northampton St,19
365,Harrison Ave at Bennet St,17
366,Broadway T Stop,19
367,Vassal Lane at Tobin/VLUS,19
368,Blue Hill Ave at Southwood St,15
369,Boston Public Market,15
37,New Balance - 20 Guest St,14
370,Dartmouth St at Newbury St,19
371,700 Huron Ave,19
372,Boylston St at Exeter St,19
373,Belgrade Ave at Walworth St,14
374,Tremont St at Hamilton Pl,18
376,Honan Library,15
377,Perry Park,19
378,191 Beacon St,19
379,Tremont St at W. Dedham St,15
380,Mass Ave at Albany St,18
381,Inman Square at Springfield St.,25
384,Clarendon St at Newbury St,15
385,Albany St at E. Brookline St,15
386,Sennott Park Broadway at Norfolk Street,19
387,7 Acre Park,15
388,Main Street at Carter Street,15
389,Everett Square (Broadway at Chelsea St),14
39,Washington St at Rutland St,27
390,Broadway at Lynde St,15
391,Encore,15
392,Glendale Square (Ferry St at Broadway),15
393,Swan St. Park,15
394,Broadway at Maple St,13
395,Chelsea St at Vine St,11
396,Wasgatt Playground,15
397,Broadway at Beacham St,15
398,75 Binney St,19
399,Shawmut Ave at Oak St W,15
4,Tremont St at E Berkeley St,19
40,Lewis Wharf at Atlantic Ave,19
400,Lansdowne T Stop,27
401,High St at Cypress St,15
402,Washington St at Griggs Rd,15
403,Marion St at Harvard St,15
404,Mass Ave T Station,14
405,Sydney St at Carson St,19
406,Somerville City Hall Annex,19
407,Craigie at Summer St,15
408,Edgerly Education Center,15
409,Elm St at White St,15
41,Packard's Corner - Commonwealth Ave at Brighton Ave,27
410,Adams St at Lonsdale St,15
411,Dorchester Ave at King St,15
412,Washington St at Peters Park,15
413,Kennedy-Longfellow School 158 Spring St,19
414,Discovery Park - 30 Acorn Park Drive,23
415,Stuart St at Berkeley St,19
416,Blossom St at Charles St,15
417,Columbus Ave at W. Canton St,19
419,Central Square East Boston,15
42,Boylston St at Arlington St,31
420,Charles St at Pinckney St,15
421,Northbourne Rd at Hyde Park Ave,15
422,American Legion Hwy at Canterbury St,15
423,Mt. Hope St at Hyde Park Ave,15
424,Jamaica St at South St,19
425,The Dimock Center,16
426,Surface Rd at Summer St,27
427,Washington St at Denton Terr,15
428,Western Ave at Richardson St,15
43,Rowes Wharf at Atlantic Ave,15
430,Washington St at Walsh Playground,15
431,Washington St at Fuller St,15
432,Centre St at W. Roxbury Post Office,19
433,Centre St at Parkway YMCA,17
434,Spring St at Powell St,19
435,Central Ave at River St,15
436,Maverick St at Massport Path,15
437,Berkshire Street at Cambridge Street,19
438,Mobile Temporary Station,15
44,Congress St at Boston City Hall,23
440,Boston Landing,17
441,Sullivan Square,19
442,Hyde Park Ave at Walk Hill St,15
443,Whittier St Health Center,19
445,Geiger Gibson Community Health Center,19
446,700 Commonwealth Ave.,16
447,The Overlook at St. Gabriel's,18
448,Hale Park,11
450,Beacon St at Englewood Ave,15
